Science,Commerce,Computer Science,Mechanical Engineering,Software Development,Civil Engineering,Business Management,Business Administration,Computer Engineering,Software Engineering,Electronics and Telecommunication Engineering,Information Technology,Electrical and Electronic Engineering,Arts,Electronics and Communication Engineering,Biotechnology,Finance,Accounts,Economics,Hospitality and Tourism Management,Diploma,Psychology,Architecture,Pharmaceutical Sciences,Medical Science,Pharmacy,Computer Technology,Electrical Engineering,Chemistry,Agricultural Science,General Studies,Nursing,Mathematics,Law,Artificial Intelligence,Marketing,Computer Information Systems,Electronics Engineering,Physics,Chemical Engineering,Dentistry,Human Resource Management,Human Resource Development,Financial Management,Data Science and Analytics,Language and Literature,Political Science,Physiotherapy,Sales,Microbiology,English,Biology,Computing,Aeronautical Engineering,Aerospace Engineering,Design,International Business,Media and Mass Communication,Banking,Business Analytics,History,Food Science,Advertising,Interior Design,Life Science,Biomedical Engineering,Health Science,Sociology,Agribusiness,Information Systems,Mechanical and Mechatronics Engineering,Instrumentation,Statistics,Journalism,Marketing Management,Biochemistry,Animation,Zoology,Automotive Engineering,Mechatronics,Business Analysis,Agriculture,Geography,Architectural Engineering,Visual Arts,Physical Education,Medical Technology,Forensic Science,Humanities,Operations,Geology,E-business,Digital Business,Actuarial Science,Petroleum Engineering,Social Work,Product Design Engineering,Construction Management,Industrial Engineering,Process Engineering,Cyber Security,Environmental Engineering,Dietetics,Horticulture,Nutrition,Agronomy,Financial Services,Philosophy,Bioinformatics,Dental Hygiene,Clinical Sciences,Supply Chain Management,Gender Studies,Robotics,Travel and Tourism,Multimedia,Mining Engineering,Film,Forestry,Logistics,Physiology,Healthcare,Public Health,Public Relations,Medical Radiation Technology,Project Management,Urban Planning,Textile,International Relations,Manufacturing Engineering,Marine Engineering,Aviation,Industrial Design,Criminology,Liberal Arts,Metallurgical Engineering,Sports Science,Fine Arts,Health Psychology,Environmental Science,Telecommunications Engineering,Veterinary Science,Culinary Skills,Game Design,Engineering Management,Power Engineering,Graphics,Textile Engineering,Web Design,Taxation,Lab Technician,Radiologic Science,International Management,Structural Engineering,Construction,Audiology,Teacher Education,Genetics,Drug Development,Fisheries,Public Administration,Biomedical Sciences,Behavioral Sciences,Culinary Arts,Material Science,Photography,Textiles,Sports Management,Anthropology,Information Security,Entrepreneurship,IT Business Analytics,Electromechanical Engineering,Event Management,Programming,Meteorology,Neuroscience,Management Consulting,Technical Management,Transportation,Physical Sciences,Applied Arts,Human Service,Plastics Engineering,Fire Science,Music,Machine Learning,Occupational Therapy,Nanoscience,Sales,Animal Science,Elementary Education,Energy Systems Technology,Primary Education,Renewable Energy,Education Assistance,Early Childhood Education,Educational Training,Community Development,Dairy,Speech Pathology,Mobile Communication,Poultry,Marine Biology,Plant Science,Education Counseling,Psychiatric Nursing,Software Testing,Aviation Technology,Public Policy,Secondary Education,Astronomy,Geotechnical Engineering,Geophysics,Networking,Therapist Assistant,Interactive Media,Mariculture,Legal Assistant,Developmental Service Worker,Library,Mobile Application,Mining,Respiratory Care,Painting,Animal Care,Theology,Customer Intelligence,Physical Activity,Process Engineering,Cinematography,Organizational Management,Archaeology,Broadcasting,Ceramics,Communicative Disorder,Justice and Emergency Services,Theatre,Astrophysics,Art,Oral Science,Child and Youth Worker,Fishery,Real Estate,Water Resource,Speech Therapy,Animal Conservation,Property Administration,Biomechanical Devices,Child Care,Criminal Science,Cytotechnology,Exercise,Fitness,Immunology,Innovation,Intercultural Communication,Nuclear Engineering,Public Affairs,Aesthetics,Cultural Studies,Heating,Office Administration,Paper and Bioprocess,Studio Art,Conflict Analysis,Interdisciplinary Studies,Police and Public Safety,Publishing,Autism,Bakery and Pastry Arts,Kinesiology,Sculpture,Spatial Engineering,Wine Making,Acupuncture,Court Support,Creative Writing,Drama,Exhibition/Event,Gerontology,Hair Styling,Interdisciplinary Engineering,Midwifery,Museum and Gallery Studies,Wildlife Ecosystem,Brewery,Carpentry,Esthetic Services,Ethnic Studies,Firefighting,International Criminology,Massage Therapy,Military,Reading,Therapeutic Recreation,Welding and Fabrication,Winery,Woodworking
Web Design,10,40,10,30,10,30,40,40,10,10,30,10,10,70,30,10,40,40,40,40,10,70,30,10,10,10,10,30,10,10,10,10,10,70,10,40,10,30,10,30,10,40,40,40,10,70,70,10,40,10,10,10,10,30,30,80,40,70,10,40,70,10,40,70,10,10,10,70,10,10,30,30,10,70,10,10,70,10,30,30,40,10,10,30,70,10,10,10,70,40,30,40,40,10,30,70,30,30,30,30,10,30,10,10,10,10,40,70,10,10,10,40,70,30,40,70,30,70,10,40,10,10,10,70,10,40,30,10,70,30,10,10,10,70,70,30,10,70,10,10,10,10,10,70,30,30,70,30,100,40,10,10,40,30,30,10,70,10,10,10,70,10,70,10,30,70,10,10,70,10,40,10,30,70,10,10,10,40,30,30,10,70,10,30,10,70,10,10,30,40,10,10,30,10,10,70,70,70,70,30,10,10,10,10,10,10,10,10,10,40,10,10,30,30,10,10,70,10,10,10,10,10,30,10,70,10,10,40,10,30,70,40,10,70,70,10,10,70,10,70,70,10,10,40,10,10,10,40,10,10,10,10,10,10,10,40,10,10,40,70,70,30,40,30,70,70,10,10,70,10,30,10,70,30,10,10,10,70,70,70,10,10,10,10,70,10,30,30,10,70,10,70,10,10,10,10,30,30,30
Taxation,10,70,10,30,10,30,70,70,10,10,30,10,10,40,30,30,70,70,70,70,10,40,30,30,30,30,10,30,30,30,10,30,30,40,10,70,10,30,30,30,30,70,70,70,10,40,40,30,70,30,10,30,10,30,30,40,70,40,10,70,40,30,70,40,30,30,30,40,10,10,30,30,10,40,10,30,40,30,30,30,70,30,10,30,40,10,30,10,40,70,30,70,70,10,30,40,30,30,30,30,10,30,30,30,30,30,70,40,30,10,30,70,40,30,70,40,30,40,30,70,10,30,30,70,30,70,30,10,40,30,10,10,10,40,40,30,10,40,10,30,10,30,10,40,30,30,40,30,40,100,30,30,70,30,30,30,40,30,10,30,70,30,40,10,30,40,10,10,40,10,70,10,30,70,10,10,30,70,30,30,30,40,10,30,10,40,10,30,30,70,30,10,30,10,10,40,40,40,40,30,30,10,30,30,30,10,30,10,10,70,10,10,30,30,10,30,40,10,10,10,10,10,30,30,40,30,10,70,10,30,40,70,10,40,40,10,10,40,10,40,40,10,10,70,10,30,30,70,30,30,10,30,10,10,30,70,10,10,70,40,40,30,70,30,40,40,10,10,40,10,30,10,40,30,10,10,10,40,40,40,30,10,10,30,40,30,30,30,10,40,10,40,10,10,10,10,30,30,30
Lab Technician,10,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,100,70,30,40,40,70,10,70,10,70,30,70,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
Radiologic Science,80,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,70,100,30,40,40,70,10,70,10,70,30,70,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
International Management,10,70,10,30,10,30,70,70,10,10,30,10,10,40,30,30,70,70,70,70,10,40,30,30,30,30,10,30,30,30,10,30,30,40,10,70,10,30,30,30,30,70,70,70,10,40,40,30,70,30,10,30,10,30,30,40,70,40,10,70,40,30,70,40,30,30,30,40,10,10,30,30,10,40,10,30,40,30,30,30,70,30,10,30,40,10,30,10,40,70,30,70,70,10,30,40,30,30,30,30,10,30,30,30,30,30,70,40,30,10,30,70,40,30,70,40,30,40,30,70,10,30,30,70,30,70,30,10,40,30,10,10,10,40,40,30,10,40,10,30,10,30,10,40,30,30,40,30,40,70,30,30,100,30,30,30,40,30,10,30,70,30,40,10,30,40,10,10,40,10,70,10,30,70,10,10,30,70,30,30,30,40,10,30,10,40,10,30,30,70,30,10,30,10,10,40,40,40,40,30,30,10,30,30,30,10,30,10,10,70,10,10,30,30,10,30,40,10,10,10,10,10,30,30,40,30,10,70,10,30,40,70,10,40,40,10,10,40,10,40,40,10,10,70,10,30,30,70,30,30,10,30,10,10,30,70,10,10,70,40,40,30,70,30,40,40,10,10,40,10,30,10,40,30,10,10,10,40,40,40,30,10,10,30,40,30,30,30,10,40,10,40,10,10,10,10,30,30,30
Structural Engineering,10,30,10,70,10,70,30,30,10,10,70,10,10,30,70,40,30,30,30,30,10,30,70,40,40,40,10,70,40,40,10,40,40,30,10,30,10,70,40,70,40,30,30,30,10,30,30,40,30,40,10,40,10,70,70,30,30,30,10,30,30,40,30,30,40,40,40,30,10,10,70,70,10,30,10,40,30,40,70,70,30,40,10,70,30,10,40,10,30,30,70,30,30,10,70,30,70,70,70,70,10,70,40,40,40,40,30,30,40,10,40,30,30,70,30,30,70,30,40,30,10,40,40,30,40,30,70,10,30,70,10,10,10,30,30,70,10,30,10,40,10,40,10,30,70,70,30,70,30,30,40,40,30,100,70,40,30,40,10,40,30,40,30,10,70,30,10,10,30,10,30,10,70,30,10,10,40,30,70,70,40,30,10,70,10,30,10,40,70,30,40,10,70,10,10,30,30,30,30,70,40,10,40,40,40,10,40,10,10,30,10,10,70,70,10,40,30,10,10,10,10,10,70,40,30,40,10,30,10,70,30,30,10,30,30,10,10,30,10,30,30,10,10,30,10,40,40,30,40,40,10,40,10,10,40,30,10,10,30,30,30,70,30,70,30,30,10,10,30,10,70,10,30,70,10,10,10,30,30,30,40,10,10,40,30,40,70,70,10,30,10,30,10,10,10,10,70,70,70
Construction,10,30,10,70,10,70,30,30,10,10,70,10,10,30,70,40,30,30,30,30,10,30,70,40,40,40,10,70,40,40,10,40,40,30,10,30,10,70,40,70,40,30,30,30,10,30,30,40,30,40,10,40,10,70,70,30,30,30,10,30,30,40,30,30,40,40,40,30,10,10,70,70,10,30,10,40,30,40,70,70,30,40,10,70,30,10,40,10,30,30,70,30,30,10,70,30,70,80,70,70,10,70,40,40,40,40,30,30,40,10,40,30,30,70,30,30,70,30,40,30,10,40,40,30,40,30,70,10,30,70,10,10,10,30,30,70,10,30,10,40,10,40,10,30,70,70,30,70,30,30,40,40,30,70,100,40,30,40,10,40,30,40,30,10,70,30,10,10,30,10,30,10,70,30,10,10,40,30,70,70,40,30,10,70,10,30,10,40,70,30,40,10,70,10,10,30,30,30,30,70,40,10,40,40,40,10,40,10,10,30,10,10,70,70,10,40,30,10,10,10,10,10,70,40,30,40,10,30,10,70,30,30,10,30,30,10,10,30,10,30,30,10,10,30,10,40,40,30,40,40,10,40,10,10,40,30,10,10,30,30,30,70,30,70,30,30,10,10,30,10,70,10,30,70,10,10,10,30,30,30,40,10,10,40,30,40,70,70,10,30,10,30,10,10,10,10,70,70,70
Audiology,10,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,70,70,30,40,40,100,10,70,10,70,30,70,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
Teacher Education,10,40,10,30,10,30,40,40,10,10,30,10,10,70,30,10,40,40,40,40,10,70,30,10,10,10,10,30,10,10,10,10,10,70,10,40,10,30,10,30,10,40,40,40,10,70,70,10,40,10,10,10,10,30,30,70,40,70,10,40,70,10,40,70,10,10,10,70,10,10,30,30,10,70,10,10,70,10,30,30,40,10,10,30,70,10,10,10,70,40,30,40,40,10,30,70,30,30,30,30,10,30,10,10,10,10,40,70,10,10,10,40,70,30,40,70,30,70,10,40,10,10,10,70,10,40,30,10,70,30,10,10,10,70,70,30,10,70,10,10,10,10,10,70,30,30,70,30,70,40,10,10,40,30,30,10,100,10,10,10,70,10,70,10,30,70,10,10,70,10,40,10,30,70,10,10,10,40,30,30,10,70,10,30,10,70,10,10,30,40,10,10,30,10,10,70,70,70,70,30,10,10,10,10,10,10,10,10,10,40,10,10,30,30,10,10,70,10,10,10,10,10,30,10,70,10,10,40,10,30,70,40,10,70,70,10,10,70,10,70,70,10,10,40,10,10,10,40,10,10,10,10,10,10,10,40,10,10,40,70,70,30,40,30,70,70,10,10,70,10,30,10,70,30,10,10,10,70,70,70,10,10,10,10,70,10,30,30,10,70,10,70,10,10,10,10,30,30,30
Genetics,10,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,70,70,30,40,40,70,10,100,10,70,30,70,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
Drug Development,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fisheries,10,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,70,70,30,40,40,70,10,70,10,100,30,70,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
Public Administration,10,70,10,30,10,30,70,70,10,10,30,10,10,70,30,30,70,70,70,70,10,70,30,30,30,30,10,30,30,30,10,30,30,70,10,70,10,30,30,30,30,70,70,70,10,70,70,30,70,30,10,30,10,30,30,70,70,70,10,70,70,30,70,70,30,30,30,70,10,10,30,30,10,70,10,30,70,30,30,30,70,30,10,30,70,10,30,10,70,70,30,70,70,10,30,70,30,30,30,30,10,30,30,30,30,30,70,70,30,10,30,70,70,30,70,70,30,70,30,70,10,30,30,70,30,70,30,10,70,30,10,10,10,70,70,30,10,70,10,30,10,30,10,70,30,30,70,30,70,70,30,30,70,30,30,30,70,30,10,30,100,30,70,10,30,70,10,10,70,10,70,10,30,70,10,10,30,70,30,30,30,70,10,30,10,70,10,30,30,70,30,10,30,10,10,70,70,70,70,30,30,10,30,30,30,10,30,10,10,70,10,10,30,30,10,30,70,10,10,10,10,10,30,30,70,30,10,70,10,30,70,70,10,70,70,10,10,70,10,70,70,10,10,70,10,30,30,70,30,30,10,30,10,10,30,70,10,10,70,70,70,30,70,30,70,70,10,10,70,10,30,10,70,30,10,10,10,70,70,70,30,10,10,30,70,30,30,30,10,70,10,70,10,10,10,10,30,30,30
Biomedical Sciences,80,30,10,40,10,40,30,30,10,10,40,10,10,10,40,70,30,30,30,30,10,10,40,70,70,70,10,40,70,70,10,70,70,10,10,30,10,40,70,40,70,30,30,30,10,10,10,70,30,70,10,70,10,40,40,10,30,10,10,30,10,70,30,10,70,70,70,10,10,10,40,40,10,10,10,70,10,70,40,40,30,70,10,40,10,10,70,10,10,30,40,30,30,10,40,10,40,40,40,40,10,40,70,70,70,70,30,10,70,10,70,30,10,40,30,10,40,10,70,30,10,70,70,30,70,30,40,10,10,40,10,10,10,10,10,40,10,10,10,70,10,70,10,10,40,40,10,40,10,30,70,70,30,40,40,70,10,70,10,70,30,100,10,10,40,10,10,10,10,10,30,10,40,30,10,10,70,30,40,40,70,10,10,40,10,10,10,70,40,30,70,10,40,10,10,10,10,10,10,70,70,10,70,70,70,10,70,10,10,30,10,10,40,40,10,70,10,10,10,10,10,10,40,70,10,70,10,30,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,70,70,30,70,70,10,70,10,10,70,30,10,10,30,10,10,40,30,40,10,10,10,10,10,10,40,10,10,40,10,10,10,10,10,10,70,10,10,70,10,70,40,40,10,10,10,10,10,10,10,10,40,40,40
Behavioral Sciences,80,40,10,30,10,30,40,40,10,10,30,10,10,70,30,10,40,40,40,40,10,70,30,10,10,10,10,30,10,10,10,10,10,70,10,40,10,30,10,30,10,40,40,40,10,70,70,10,40,10,10,10,10,30,30,70,40,70,10,40,70,10,40,70,10,10,10,70,10,10,30,30,10,70,10,10,70,10,30,30,40,10,10,30,70,10,10,10,70,40,30,40,40,10,30,70,30,30,30,30,10,30,10,10,10,10,40,70,10,10,10,40,70,30,40,70,30,70,10,40,10,10,10,70,10,40,30,10,70,30,10,10,10,70,70,30,10,70,10,10,10,10,10,70,30,30,70,30,70,40,10,10,40,30,30,10,70,10,10,10,70,10,100,10,30,70,10,10,70,10,40,10,30,70,10,10,10,40,30,30,10,70,10,30,10,70,10,10,30,40,10,10,30,10,10,70,70,70,70,30,10,10,10,10,10,10,10,10,10,40,10,10,30,30,10,10,70,10,10,10,10,10,30,10,70,10,10,40,10,30,70,40,10,70,70,10,10,70,10,70,70,10,10,40,10,10,10,40,10,10,10,10,10,10,10,40,10,10,40,70,70,30,40,30,70,70,10,10,70,10,30,10,70,30,10,10,10,70,70,70,10,10,10,10,70,10,30,30,10,70,10,70,10,10,10,10,30,30,30
Culinary Arts,10,10,10,10,10,10,10,10,10,10,10,10,10,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Material Science,80,30,10,70,10,70,30,30,10,10,70,10,10,30,70,40,30,30,30,30,10,30,70,40,40,40,10,70,40,40,10,40,40,30,10,30,10,70,40,70,40,30,30,30,10,30,30,40,30,40,10,40,10,70,70,30,30,30,10,30,30,40,30,30,40,40,40,30,10,10,70,70,10,30,10,40,30,40,70,70,30,40,10,70,30,10,40,10,30,30,70,30,30,10,70,30,70,70,70,70,10,70,40,40,40,40,30,30,40,10,40,30,30,70,30,30,70,30,40,30,10,40,40,30,40,30,70,10,30,70,10,10,10,30,30,70,10,30,10,40,10,40,10,30,70,70,30,70,30,30,40,40,30,70,70,40,30,40,10,40,30,40,30,10,100,30,10,10,30,10,30,10,70,30,10,10,40,30,70,70,40,30,10,70,10,30,10,40,70,30,40,10,70,10,10,30,30,30,30,70,40,10,40,40,40,10,40,10,10,30,10,10,70,70,10,40,30,10,10,10,10,10,70,40,30,40,10,30,10,70,30,30,10,30,30,10,10,30,10,30,30,10,10,30,10,40,40,30,40,40,10,40,10,10,40,30,10,10,30,30,30,70,30,70,30,30,10,10,30,10,70,10,30,70,10,10,10,30,30,30,40,10,10,40,30,40,70,70,10,30,10,30,10,10,10,10,70,70,70
Photography,10,40,10,30,10,30,40,40,10,10,30,10,10,70,30,10,40,40,40,40,10,70,30,10,10,10,10,30,10,10,10,10,10,70,10,40,10,30,10,30,10,40,40,40,10,70,70,10,40,10,10,10,10,30,30,70,40,70,10,40,70,10,40,70,10,10,10,70,10,10,30,30,10,70,10,10,70,10,30,30,40,10,10,30,70,10,10,10,70,40,30,40,40,10,30,70,30,30,30,30,10,30,10,10,10,10,40,70,10,10,10,40,70,30,40,70,30,70,10,40,10,10,10,70,10,40,30,10,70,30,10,10,10,70,70,30,10,70,10,10,10,10,10,70,30,30,70,30,70,40,10,10,40,30,30,10,70,10,10,10,70,10,70,10,30,100,10,10,70,10,40,10,30,70,10,10,10,40,30,30,10,70,10,30,10,70,10,10,30,40,10,10,30,10,10,70,70,70,70,30,10,10,10,10,10,10,10,10,10,40,10,10,30,30,10,10,70,10,10,10,10,10,30,10,70,10,10,40,10,30,70,40,10,70,70,10,10,70,10,70,70,10,10,40,10,10,10,40,10,10,10,10,10,10,10,40,10,10,40,70,70,30,40,30,70,70,10,10,70,10,30,10,70,30,10,10,10,70,70,70,10,10,10,10,70,10,30,30,10,70,10,70,10,10,10,10,30,30,30
Textiles,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
